Client_IP,Server_IP,Timestamp,TCP_Sequence_Number,TCP_Retranmission_Count,TCP_Flag_Info,RLC_Timestamp(first_mapped),RLC_Sequence_Number_and_Retransmission_Count,HTTP_Type,Note
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90518657,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90518783,0,ACK,2013 Sep 11  17:40:050.695,88:0/89:0/90:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90518909,0,ACK,2013 Sep 11  17:40:050.696,90:0/91:0/92:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.740,90519035,0,ACK,2013 Sep 11  17:40:050.696,92:0/93:0/94:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.741,90519161,0,ACK,2013 Sep 11  17:40:050.696,94:0/95:0/96:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.741,90519287,0,ACK,2013 Sep 11  17:40:050.696,96:0/97:0/98:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.743,90519413,0,ACK,2013 Sep 11  17:40:050.696,98:0/99:0/100:0/100:0/78:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.743,90519539,0,ACK/PSH,2013 Sep 11  17:38:320.335,130:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.855,90519573,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.865,90519573,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.865,29289178,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.875,291286885,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.915,29289178,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.915,29289178,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.925,90519590,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.995,365914042,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:050.995,385945271,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.056,365914042,0,ACK,2013 Sep 11  17:40:050.915,105:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.056,385945271,0,ACK,2013 Sep 11  17:40:050.915,105:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.145,385945271,0,ACK,2013 Sep 11  17:40:050.695,87:0/88:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.146,385945397,0,ACK,2013 Sep 11  17:40:060.145,115:0/116:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.149,385945523,0,ACK,2013 Sep 11  17:40:060.145,115:0/116:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.149,385945649,0,ACK,2013 Sep 11  17:40:060.145,115:0/116:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.150,385945775,0,ACK,2013 Sep 11  17:40:060.149,122:0/123:0/124:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.150,385945901,0,ACK/PSH,2013 Sep 11  17:40:060.145,115:0/116:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.151,385946027,0,ACK/PSH,2013 Sep 11  17:40:060.150,126:0/127:0/128:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.156,385946121,0,ACK,2013 Sep 11  17:40:060.145,115:0/116:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.159,385946247,0,ACK,2013 Sep 11  17:40:060.150,128:0/129:0/130:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.160,385946373,0,ACK,2013 Sep 11  17:40:060.159,132:0/133:0/134:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.160,385946499,0,ACK,2013 Sep 11  17:40:060.159,134:0/135:0/136:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.160,365914042,0,ACK/PSH,2013 Sep 11  17:40:050.915,105:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.185,385946625,0,ACK,2013 Sep 11  17:40:060.150,128:0/129:0/130:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.186,385946751,0,ACK/PSH,2013 Sep 11  17:40:060.185,137:0/138:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:060.186,385946877,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.025,261915974,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.075,261915974,0,ACK,2013 Sep 11  17:40:060.975,145:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.175,261915974,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.295,385946913,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.435,385946913,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:070.935,291286885,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:080.095,90519607,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:080.105,29289196,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.175,365914060,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.175,68094597,0,ACK/SYN,2013 Sep 11  17:40:090.165,193:0/194:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.345,68094597,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.525,68094597,0,ACK,2013 Sep 11  17:40:070.265,156:0/157:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.535,68094723,0,ACK,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.535,68094849,0,ACK,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.545,68094975,0,ACK,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.555,68095101,0,ACK,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.558,68095227,0,ACK/PSH,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.565,68095353,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.565,68095456,0,ACK/PSH,2013 Sep 11  17:40:050.515,30:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.585,68095468,0,ACK,2013 Sep 11  17:40:090.525,205:0/206:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.586,68095594,0,ACK,2013 Sep 11  17:40:090.585,223:0/224:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.595,68095720,0,ACK,2013 Sep 11  17:40:090.585,223:0/224:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.598,68095846,0,ACK,2013 Sep 11  17:40:090.585,223:0/224:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.598,68095972,0,ACK/PSH,2013 Sep 11  17:40:050.515,29:0/30:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.598,68096032,0,ACK/PSH,2013 Sep 11  17:40:050.518,32:0/33:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.605,68096052,0,ACK,2013 Sep 11  17:40:090.585,223:0/224:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.606,68096178,0,ACK,2013 Sep 11  17:40:090.605,233:0/234:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.608,68096304,0,ACK/PSH,2013 Sep 11  17:40:090.606,236:0/237:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.845,385946984,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:090.855,261916050,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:40:100.215,68096337,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.269,275847012,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.316,275847013,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.595,275847013,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.605,275847139,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.615,275847265,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.616,275847391,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.626,275847517,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.626,275847643,0,ACK/PSH,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.636,275847769,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.638,275847873,0,ACK/PSH,2013 Sep 11  17:40:460.665,501:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.638,275847887,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.645,275848013,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.646,275848139,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.649,275848265,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.655,275848391,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.656,275848517,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.659,275848643,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.659,275848769,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.665,275848895,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.666,275849021,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.669,275849147,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.670,275849273,0,ACK,2013 Sep 11  17:41:240.669,57:0/58:0/59:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.670,275849399,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.675,275849525,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.685,275849651,0,ACK,2013 Sep 11  17:41:070.401,445:0/446:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.686,275849777,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.686,275849903,0,ACK/PSH,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.689,275850029,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.696,275850155,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.698,275850281,0,ACK,2013 Sep 11  17:41:240.696,75:0/76:0/77:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.698,275850407,0,ACK,2013 Sep 11  17:41:240.696,77:0/78:0/79:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.699,275850533,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.699,275850659,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.705,275850785,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.705,275850911,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.706,275851037,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.709,275851163,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.709,275851289,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.715,275851415,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.716,275851541,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.718,275851667,0,ACK,2013 Sep 11  17:41:240.716,98:0/99:0/100:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.719,275851793,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.719,275851919,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.720,275852045,0,ACK,2013 Sep 11  17:41:240.685,65:0/66:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.725,275852171,0,ACK,2013 Sep 11  17:41:240.719,104:0/105:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:240.725,275852297,0,ACK/PSH,2013 Sep 11  17:40:470.786,605:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:250.880,275852304,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.026,275852304,0,ACK,2013 Sep 11  17:41:250.875,131:0/132:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.026,275852430,0,ACK,2013 Sep 11  17:41:250.875,131:0/132:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.029,275852556,0,ACK,2013 Sep 11  17:41:250.875,131:0/132:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.076,275852682,0,ACK,2013 Sep 11  17:41:260.026,156:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.078,275852808,0,ACK,2013 Sep 11  17:41:260.076,159:0/160:0/161:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.079,275852934,0,ACK,2013 Sep 11  17:41:260.075,158:0/159:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.079,275853060,0,ACK,2013 Sep 11  17:41:260.075,158:0/159:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.085,275853186,0,ACK,2013 Sep 11  17:41:260.075,158:0/159:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.086,275853312,0,ACK,2013 Sep 11  17:41:260.075,158:0/159:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.126,275853438,0,ACK,2013 Sep 11  17:41:260.075,158:0/159:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.129,275853564,0,ACK,2013 Sep 11  17:41:260.126,173:0/174:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.130,275853690,0,ACK,2013 Sep 11  17:41:260.126,173:0/174:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.131,275853816,0,ACK,2013 Sep 11  17:41:260.130,178:0/179:0/180:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.135,275853942,0,ACK/PSH,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.336,157458665,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:260.995,157458665,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:270.005,157458665,0,ACK/PSH,2013 Sep 11  17:40:430.455,12:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:280.425,275854044,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:41:300.215,157458685,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:440.235,305881141,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:440.285,305881141,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:440.285,305881141,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:440.465,305881141,0,ACK,2013 Sep 11  17:42:320.775,0:0/1:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:440.465,305881267,0,ACK/PSH,2013 Sep 11  17:41:240.616,28:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:450.765,119886505,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:450.805,119886505,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:450.815,119886505,0,ACK/PSH,2013 Sep 11  17:41:050.805,25:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:460.655,305881289,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:480.365,119886534,0,ACK/FIN,2013 Sep 11  17:42:480.030,211:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:560.525,342093254,0,ACK/SYN,2013 Sep 11  17:42:560.340,392:0/393:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:560.575,342093254,0,ACK,2013 Sep 11  17:42:560.425,402:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:560.585,342093254,0,ACK/PSH,2013 Sep 11  17:41:270.005,200:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 11  17:42:580.805,342093274,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:44:450.045,93045212,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:44:450.145,93045212,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:44:450.326,93045212,0,ACK/PSH,2013 Sep 11  17:43:040.759,1945:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:44:480.355,93045229,0,ACK/FIN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.625,345308063,0,ACK/SYN,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.675,345308063,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.685,345308063,0,ACK,N/A,N/A,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.836,345308063,0,ACK,2013 Sep 11  17:46:070.765,54:0/55:0,DATA,
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.845,345308189,0,ACK,2013 Sep 11  17:46:080.835,106:0,DATA,WARNING: Non-unique Mapping
21.150.255.211,208.54.32.9,2013 Sep 11  17:46:080.856,345308315,0,ACK,2013 Sep 11  17:46:080.845,108:0,DATA,WARNING: Non-unique Mapping
